RIC,Company Common Name,ISIN,Exchange Name,Exchange Market Identifier Code,ESG Score,Company Market Cap,Price Close
ARGX.BR,argenx SE,NL0010832176,Brussels Stock Exchange,XBRU,71.693772981411,43938658060.4378,710.2
LOG.MC,Logista Integral SA,ES0105027009,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,58.4647405355919,4411511919.58572,33.24
ELIS.PA,Elis SA,FR0012435121,Paris Stock Exchange,XPAR,74.4612575739741,6392431070.5484,27.46
POXEL.PA,Poxel SA,FR0012432516,Paris Stock Exchange,XPAR,60.0880690484475,14376731.1245652,0.2675
AENA.MC,Aena SME SA,ES0105046017,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,68.2053165322064,43215000000.0,28.81
OSE.PA,OSE Immunotherapeutics SA,FR0012127173,Paris Stock Exchange,XPAR,15.929090306058,97690873.2215469,4.35
CLNX.MC,Cellnex Telecom SA,ES0105066007,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,72.9632874964265,20808355156.0161,30.5
TLGO.MC,Talgo SA,ES0105065009,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,53.313680116978,381738575.660802,2.84
SPIE.PA,Spie SA,FR0012757854,Paris Stock Exchange,XPAR,72.2994245908985,8566199005.03027,50.35
GREG.MC,Grenergy Renovables SA,ES0105079000,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,61.5242796373401,3051555807.24723,106.8
FLOW.AS,Flow Traders Ltd,BMG3602E1084,Euronext Amsterdam,XAMS,58.2301375742787,1201778558.70715,26.32
SRPG.PA,SRP Groupe SA,FR0013006558,Paris Stock Exchange,XPAR,32.1420609976898,87596635.0155082,0.736
ORY.MC,Oryzon Genomics SA,ES0167733015,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,48.6122025240922,254379022.309285,3.185
PHMR.MC,Pharma Mar SA,ES0169501022,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,61.2110418080252,1400051509.69332,77.8
AMUN.PA,Amundi SA,FR0004125920,Paris Stock Exchange,XPAR,70.8542801655577,15867158935.3684,76.9
ABNd.AS,ABN Amro Bank NV,NL0011540547,Euronext Amsterdam,XAMS,69.3024053702113,17623795178.8679,28.61
XIOR.BR,Xior Student Housing NV,BE0974288202,Brussels Stock Exchange,XBRU,54.9863315694098,1393501695.92377,29.85
ASRNL.AS,ASR Nederland NV,NL0011872643,Euronext Amsterdam,XAMS,79.2110971564061,12828015295.1778,61.36
GNRO.PA,Geneuro SA,CH0308403085,Paris Stock Exchange,XPAR,17.2460866671714,916408.630846315,0.0308
SIFG.AS,Sif Holding NV,NL0011660485,Euronext Amsterdam,XAMS,32.936718457415,224108806.519055,7.5
MDM.PA,Maisons du Monde SA,FR0013153541,Paris Stock Exchange,XPAR,67.4551116999769,55243145.3711589,1.41
DOMI.MC,Global Dominion Access SA,ES0105130001,BME - BOLSAS Y MERCADOS ESPANOLES,XMAD,63.7121908561028,518281265.349991,3.43
LIGHT.AS,Signify NV,NL0011821392,Euronext Amsterdam,XAMS,86.2308625878003,2437531426.54443,19.89
FFARM.AS,ForFarmers NV,NL0011832811,Euronext Amsterdam,XAMS,47.2742179930604,503435416.517182,5.64
